"x","y","z","z_noisy","z_constrained","x_grad","y_grad","x_grad_noisy","y_grad_noisy"
-6.36363636363636,-10,1867.38842975207,1876.16635255671,NA,-37.1513110907051,-36.694214876033,-63.1587217387587,-45.6036079813091
-6.16161616161616,-10,1830.89827568615,1828.28507683309,NA,-36.8248137945111,-36.2860932557903,-5.07138856258348,-52.6379541379769
-5.95959595959596,-10,1794.81624324049,1770.89044428076,NA,-36.4983164983164,-35.8779716355475,12.1480762310143,-41.7022877229386
-5.75757575757576,-10,1759.14233241506,1744.88050138721,NA,-36.1718192021222,-35.4698500153044,-27.1870239777775,-11.5245207322457
-5.55555555555556,-10,1723.87654320988,1747.84140281627,NA,-35.8453219059284,-35.0617283950617,-99.0829458497562,-39.1919815350608
-5.35353535353535,-10,1689.01887562494,1666.49653831709,NA,-35.5188246097339,-34.6536067748189,1.1061682155414,-24.371077644646
-5.15151515151515,-10,1654.56932966024,1699.09924752697,NA,-35.1923273135399,-34.2454851545762,-37.2391408976819,-23.0625420794742
-4.94949494949495,-10,1620.52790531578,1620.37145415814,NA,-34.8658300173449,-33.8373635343333,-76.8040241424483,-64.711916317121
-4.74747474747475,-10,1586.89460259157,1569.67541489273,NA,-34.5393327211509,-33.4292419140902,6.05021896018025,-28.1386515593549
-4.54545454545455,-10,1553.6694214876,1564.09415103943,NA,-34.2128354249569,-33.0211202938476,-57.3368614570311,-34.7700190015125
-4.34343434343434,-10,1520.85236200388,1500.13537688971,NA,-33.8863381287624,-32.6129986736048,-19.7668666019927,-48.4095810377422
-4.14141414141414,-10,1488.44342414039,1467.27498896395,NA,-33.5598408325682,-32.2048770533619,-21.7825118590379,0.00235347929606178
-3.93939393939394,-10,1456.44260789715,1500.1400838483,NA,-33.2333435363739,-31.7967554331191,-63.6747426948671,-14.6869756003297
-3.73737373737374,-10,1424.84991327416,1437.90103776329,NA,-32.9068462401797,-31.3886338128762,5.44139162253828,-63.1005933280838
-3.53535353535354,-10,1393.6653402714,1373.93889719213,NA,-32.5803489439854,-30.9805121926336,-27.9954646183662,-56.0570117679782
-3.33333333333333,-10,1362.88888888889,1325.78701422733,NA,-32.2538516477912,-30.5723905723905,5.74466607002955,-34.2437918963857
-3.13131313131313,-10,1332.52055912662,1305.45131339936,NA,-31.9273543515969,-30.1642689521477,-4.32902309968654,-10.0105871667433
